hemLocationId,maritalStatusId,dependants,incomeRangeId,weeklyValue
12,married,3,2,890
12,single,0,2,339
12,single,1,2,437
12,single,2,2,556
12,single,3,2,692
12,married,0,3,626
12,married,1,3,711
12,married,2,3,780
12,married,3,3,890
12,single,0,3,355
12,single,1,3,453
12,single,2,3,572
12,single,3,3,692
12,married,0,4,651
12,married,1,4,736
12,married,2,4,805
12,married,3,4,890
12,single,0,4,381
12,single,1,4,479
12,single,2,4,598
12,single,3,4,718
12,married,0,5,692
12,married,1,5,777
12,married,2,5,846
12,married,3,5,930
12,single,0,5,422
12,single,1,5,520
12,single,2,5,640
12,single,3,5,760
12,married,0,6,752
12,married,1,6,837
12,married,2,6,906
12,married,3,6,992
12,single,0,6,483
12,single,1,6,581
12,single,2,6,701
12,single,3,6,822
12,married,0,7,841
12,married,1,7,926
12,married,2,7,994
12,married,3,7,1081
12,single,0,7,572
12,single,1,7,670
12,single,2,7,792
12,single,3,7,913
12,married,0,8,917
12,married,1,8,1002
12,married,2,8,1071
12,married,3,8,1158
12,single,0,8,648
12,single,1,8,747
12,single,2,8,869
12,single,3,8,991
12,married,0,9,995
12,married,1,9,1080
12,married,2,9,1149
12,married,3,9,1237
12,single,0,9,727
12,single,1,9,826
12,single,2,9,949
12,single,3,9,1072
12,married,0,10,1047
12,married,1,10,1132
12,married,2,10,1200
12,married,3,10,1290
12,single,0,10,779
12,single,1,10,879
12,single,2,10,1002
12,single,3,10,1125
12,married,0,11,1111
12,married,1,11,1195
12,married,2,11,1264
12,married,3,11,1354
12,single,0,11,843
12,single,1,11,943
12,single,2,11,1067
12,single,3,11,1190
12,married,0,12,1226
12,married,1,12,1310
12,married,2,12,1379
12,married,3,12,1471
12,single,0,12,959
12,single,1,12,1059
12,single,2,12,1184
12,single,3,12,1308
12,married,0,13,1398
